,Time,PPG
1163,23.26,2233
1164,23.28,1573
1165,23.3,1051
1166,23.32,747
1167,23.34,651
1168,23.36,753
1169,23.38,1035
1170,23.400000000000002,1342
1171,23.42,1553
1172,23.44,1642
1173,23.46,1552
1174,23.48,1380
1175,23.5,1216
1176,23.52,1088
1177,23.54,1104
1178,23.56,1424
1179,23.580000000000002,2043
1180,23.6,2841
1181,23.62,4027
1182,23.64,4095
1183,23.66,4095
1184,23.68,3611
1185,23.7,2480
1186,23.72,1667
1187,23.740000000000002,1070
1188,23.76,721
1189,23.78,678
1190,23.8,833
1191,23.82,1137
1192,23.84,1445
1193,23.86,1680
1194,23.88,1795
1195,23.900000000000002,1699
1196,23.92,1445
1197,23.94,1159
1198,23.96,917
1199,23.98,809
1200,24.0,743
1201,24.02,728
1202,24.04,848
1203,24.060000000000002,1195
1204,24.080000000000002,1775
1205,24.1,2388
1206,24.12,2889
1207,24.14,3090
1208,24.16,2803
1209,24.18,2352
1210,24.2,1870
1211,24.22,1373
1212,24.240000000000002,944
1213,24.26,646
1214,24.28,506
1215,24.3,541
1216,24.32,723
1217,24.34,975
1218,24.36,1172
1219,24.38,1261
1220,24.400000000000002,1274
1221,24.42,1233
1222,24.44,1166
1223,24.46,1043
1224,24.48,935
1225,24.5,879
1226,24.52,914
1227,24.54,1136
1228,24.560000000000002,1545
1229,24.580000000000002,2006
1230,24.6,2387
1231,24.62,2576
1232,24.64,2519
1233,24.66,2310
1234,24.68,2023
1235,24.7,1733
1236,24.72,1470
1237,24.740000000000002,1274
1238,24.76,1185
1239,24.78,1209
1240,24.8,1303
1241,24.82,1411
1242,24.84,1547
1243,24.86,1677
1244,24.88,1766
1245,24.900000000000002,1840
1246,24.92,1885
1247,24.94,1878
1248,24.96,1807
1249,24.98,1738
1250,25.0,1711
1251,25.02,1798
1252,25.04,2067
1253,25.060000000000002,2532
1254,25.080000000000002,3243
1255,25.1,4095
1256,25.12,4095
1257,25.14,4069
1258,25.16,3232
1259,25.18,2545
1260,25.2,2013
1261,25.22,1586
1262,25.240000000000002,1339
1263,25.26,1301
1264,25.28,1418
1265,25.3,1568
1266,25.32,1680
1267,25.34,1692
1268,25.36,1616
1269,25.38,1509
1270,25.400000000000002,1409
1271,25.42,1326
1272,25.44,1258
1273,25.46,1200
1274,25.48,1228
1275,25.5,1427
1276,25.52,1815
1277,25.54,2283
1278,25.560000000000002,2675
1279,25.580000000000002,2846
1280,25.6,2721
1281,25.62,2413
1282,25.64,2030
1283,25.66,1642
1284,25.68,1299
1285,25.7,1095
1286,25.72,1066
1287,25.740000000000002,1206
1288,25.76,1424
1289,25.78,1624
1290,25.8,1763
1291,25.82,1830
1292,25.84,1856
1293,25.86,1833
1294,25.88,1761
1295,25.900000000000002,1667
1296,25.92,1581
1297,25.94,1535
1298,25.96,1622
1299,25.98,1879
1300,26.0,2287
1301,26.02,2724
1302,26.04,3140
1303,26.060000000000002,3291
1304,26.080000000000002,3063
1305,26.1,2681
1306,26.12,2294
1307,26.14,1914
1308,26.16,1602
1309,26.18,1391
1310,26.2,1314
1311,26.22,1375
1312,26.240000000000002,1517
1313,26.26,1648
1314,26.28,1734
1315,26.3,1765
1316,26.32,1753
1317,26.34,1669
1318,26.36,1543
1319,26.38,1393
1320,26.400000000000002,1301
1321,26.42,1309
1322,26.44,1488
1323,26.46,1855
1324,26.48,2361
1325,26.5,2965
1326,26.52,3643
1327,26.54,3782
1328,26.560000000000002,3261
1329,26.580000000000002,2639
1330,26.6,2106
1331,26.62,1642
1332,26.64,1302
1333,26.66,1146
1334,26.68,1163
1335,26.7,1301
1336,26.72,1504
1337,26.740000000000002,1665
1338,26.76,1754
1339,26.78,1778
1340,26.8,1735
1341,26.82,1647
1342,26.84,1478
1343,26.86,1279
1344,26.88,1119
1345,26.900000000000002,1085
1346,26.92,1209
1347,26.94,1531
1348,26.96,2003
1349,26.98,2509
1350,27.0,2911
1351,27.02,3005
1352,27.04,2727
1353,27.060000000000002,2327
1354,27.080000000000002,1904
1355,27.1,1554
1356,27.12,1339
1357,27.14,1285
1358,27.16,1380
1359,27.18,1562
1360,27.2,1730
1361,27.22,1840
1362,27.240000000000002,1871
1363,27.26,1825
1364,27.28,1744
1365,27.3,1637
1366,27.32,1474
1367,27.34,1323
1368,27.36,1229
1369,27.38,1267
1370,27.400000000000002,1531
1371,27.42,1999
1372,27.44,2483
1373,27.46,2864
1374,27.48,2933
1375,27.5,2695
1376,27.52,2343
1377,27.54,1974
1378,27.560000000000002,1638
1379,27.580000000000002,1348
1380,27.6,1159
1381,27.62,1082
1382,27.64,1102
1383,27.66,1206
1384,27.68,1354
1385,27.7,1488
1386,27.72,1562
1387,27.740000000000002,1552
1388,27.76,1443
1389,27.78,1302
1390,27.8,1167
1391,27.82,1067
1392,27.84,1063
1393,27.86,1211
1394,27.88,1503
1395,27.900000000000002,1893
1396,27.92,2259
1397,27.94,2507
1398,27.96,2601
1399,27.98,2557
1400,28.0,2320
1401,28.02,2005
1402,28.04,1670
1403,28.060000000000002,1402
1404,28.080000000000002,1249
1405,28.1,1195
1406,28.12,1205
1407,28.14,1226
1408,28.16,1244
1409,28.18,1252
1410,28.2,1294
1411,28.22,1360
1412,28.240000000000002,1385
1413,28.26,1360
1414,28.28,1324
1415,28.3,1335
1416,28.32,1479
1417,28.34,1794
1418,28.36,2240
1419,28.38,2722
1420,28.400000000000002,3117
1421,28.42,3123
1422,28.44,2745
1423,28.46,2287
1424,28.48,1843
1425,28.5,1469
1426,28.52,1221
1427,28.54,1126
1428,28.560000000000002,1168
1429,28.580000000000002,1287
1430,28.6,1410
1431,28.62,1520
1432,28.64,1587
1433,28.66,1600
1434,28.68,1577
